SetID,CardType,CardName
VIV 85,bPokemon,Shuckle  
VIV 86,bPokemon,Phanpy  
VIV 87,ePokemon,Donphan  
VIV 88,bPokemon,Hitmontop  
VIV 89,bPokemon,Regirock  
VIV 90,bPokemon,Riolu  
VIV 91,bPokemon,Drilbur  
VIV 92,bPokemon,Terrakion  
VIV 93,bPokemon,Zygarde  
VIV 94,bPokemon,Rockruff  
VIV 95,ePokemon,Lycanroc  
VIV 96,bPokemon,Mudbray  
VIV 97,ePokemon,Mudsdale  
VIV 98,bPokemon,Coalossal V 
VIV 99,ePokemon,Coalossal VMAX 
VIV 100,bPokemon,Clobbopus  
VIV 101,ePokemon,Grapploct  
VIV 102,bPokemon,Zamazenta  
VIV 103,bPokemon,Poochyena  
VIV 104,ePokemon,Mightyena  
VIV 105,bPokemon,Sableye  
VIV 106,bPokemon,Drapion V 
VIV 107,bPokemon,Sandile  
VIV 108,ePokemon,Krokorok  
VIV 109,ePokemon,Krookodile  
VIV 110,bPokemon,Trubbish  
VIV 111,ePokemon,Garbodor  
VIV 112,bPokemon,Galarian Meowth 
VIV 113,ePokemon,Galarian Perrserker 
VIV 114,ePokemon,Forretress  
VIV 115,bPokemon,Steelix V 
VIV 116,bPokemon,Beldum  
VIV 117,ePokemon,Metang  
VIV 118,ePokemon,Metagross  
VIV 119,bPokemon,Jirachi  
VIV 120,ePokemon,Lucario  
VIV 121,bPokemon,Dialga  
VIV 122,ePokemon,Excadrill  
VIV 123,bPokemon,Ferroseed  
VIV 124,ePokemon,Ferrothorn  
VIV 125,bPokemon,Galarian Stunfisk 
VIV 126,bPokemon,Aegislash V 
VIV 127,ePokemon,Aegislash VMAX 
VIV 128,bPokemon,Magearna  
VIV 129,bPokemon,Duraludon  
VIV 130,bPokemon,Eevee  
VIV 131,bPokemon,Snorlax  
VIV 132,bPokemon,Lugia  
VIV 133,bPokemon,Taillow  
VIV 134,ePokemon,Swellow  
VIV 135,bPokemon,Whismur  
VIV 136,ePokemon,Loudred  
VIV 137,ePokemon,Exploud  
VIV 138,bPokemon,Rayquaza  
VIV 139,bPokemon,Chatot  
VIV 140,bPokemon,Togekiss V 
VIV 141,ePokemon,Togekiss VMAX 
VIV 142,bPokemon,Tornadus  
VIV 143,bPokemon,Pikipek  
VIV 144,ePokemon,Trumbeak  
VIV 145,ePokemon,Toucannon  
VIV 146,Supporter,Allister  
VIV 147,Supporter,Bea  
VIV 148,Supporter,Beauty  
VIV 149,Supporter,Cara Liss 
VIV 150,Stadium,Circhester Bath 
VIV 151,Item,Drone Rotom 
VIV 152,Item,Hero’s Medal 
VIV 153,Supporter,League Staff 
VIV 154,Supporter,Leon  
VIV 155,Item,Memory Capsule 
VIV 156,Item,Moomoo Cheese 
VIV 157,Supporter,Nessa  
VIV 158,Supporter,Opal  
VIV 159,Item,Rocky Helmet 
VIV 160,Item,Telescopic Sight 
VIV 161,Stadium,Wyndon Stadium 
